customer_id,run_id,num_baristas,arrival_time,service_start,service_end,waiting_time,service_time,system_time
88,1,3,258.4071,258.4071,258.8232,0.0,0.4161,0.4161
90,1,3,258.8226,258.8226,262.014,0.0,3.1914,3.1914
91,1,3,263.4524,263.4524,269.1753,0.0,5.7229,5.7229
93,1,3,264.7145,264.7145,269.4813,0.0,4.7668,4.7668
94,1,3,267.2056,269.1753,270.5047,1.9697,1.3294,3.2991
95,1,3,269.5572,269.5572,271.3503,0.0,1.7931,1.7931
92,1,3,263.8002,263.8002,271.4893,0.0,7.6892,7.6892
96,1,3,271.5467,271.5467,275.3033,0.0,3.7566,3.7566
97,1,3,274.7516,274.7516,275.5764,0.0,0.8247,0.8247
98,1,3,275.8183,275.8183,275.9851,0.0,0.1668,0.1668
99,1,3,275.9196,275.9196,277.3702,0.0,1.4507,1.4507
100,1,3,277.712,277.712,278.8879,0.0,1.1758,1.1758
101,1,3,285.7342,285.7342,287.7286,0.0,1.9944,1.9944
102,1,3,293.307,293.307,299.0961,0.0,5.7891,5.7891
104,1,3,299.4206,299.4206,301.2868,0.0,1.8662,1.8662
103,1,3,295.4408,295.4408,302.8255,0.0,7.3847,7.3847
107,1,3,302.0819,302.8255,303.7209,0.7436,0.8954,1.639
106,1,3,301.4041,301.4041,306.2794,0.0,4.8753,4.8753
105,1,3,300.1459,300.1459,306.7049,0.0,6.559,6.559
108,1,3,306.7896,306.7896,308.9337,0.0,2.1442,2.1442
111,1,3,318.0452,318.0452,320.4388,0.0,2.3935,2.3935
112,1,3,318.4349,320.4388,321.0548,2.0038,0.616,2.6199
109,1,3,315.7323,315.7323,321.0762,0.0,5.3439,5.3439
114,1,3,321.2619,321.2619,321.3625,0.0,0.1006,0.1006
110,1,3,316.8549,316.8549,322.4766,0.0,5.6217,5.6217
115,1,3,322.239,322.239,322.7301,0.0,0.4911,0.4911
113,1,3,319.8494,321.0548,326.1961,1.2054,5.1413,6.3467
118,1,3,331.65,331.65,331.6539,0.0,0.0039,0.0039
117,1,3,329.1292,329.1292,331.8456,0.0,2.7163,2.7163
116,1,3,328.8718,328.8718,333.6645,0.0,4.7926,4.7926
119,1,3,331.911,331.911,334.6547,0.0,2.7438,2.7438
120,1,3,333.76,333.76,336.1991,0.0,2.4392,2.4392
121,1,3,339.3575,339.3575,339.9807,0.0,0.6232,0.6232
123,1,3,345.6314,345.6314,346.3184,0.0,0.6871,0.6871
122,1,3,339.8202,339.8202,346.7071,0.0,6.8869,6.8869
124,1,3,349.1075,349.1075,350.9636,0.0,1.8561,1.8561
125,1,3,354.7383,354.7383,355.5938,0.0,0.8556,0.8556
126,1,3,358.2306,358.2306,359.0574,0.0,0.8268,0.8268
128,1,3,360.822,360.822,362.0053,0.0,1.1832,1.1832
129,1,3,361.3905,361.3905,363.6117,0.0,2.2212,2.2212
127,1,3,359.6693,359.6693,363.8283,0.0,4.159,4.159
130,1,3,365.2783,365.2783,366.0026,0.0,0.7244,0.7244
131,1,3,366.7372,366.7372,367.9301,0.0,1.1929,1.1929
132,1,3,367.0244,367.0244,369.3433,0.0,2.3189,2.3189
133,1,3,370.3467,370.3467,372.7741,0.0,2.4274,2.4274
134,1,3,371.9117,371.9117,375.1982,0.0,3.2865,3.2865
135,1,3,376.8026,376.8026,376.8305,0.0,0.028,0.028
138,1,3,381.0282,381.0282,382.6943,0.0,1.6661,1.6661
137,1,3,379.9913,379.9913,383.2778,0.0,3.2865,3.2865
136,1,3,378.985,378.985,383.8137,0.0,4.8286,4.8286
139,1,3,387.8075,387.8075,389.3262,0.0,1.5188,1.5188
140,1,3,392.7402,392.7402,396.1819,0.0,3.4417,3.4417
141,1,3,397.0855,397.0855,399.2089,0.0,2.1233,2.1233
142,1,3,399.0086,399.0086,403.0472,0.0,4.0386,4.0386
144,1,3,405.6568,405.6568,406.1302,0.0,0.4734,0.4734
143,1,3,405.5696,405.5696,406.4566,0.0,0.887,0.887
146,1,3,408.1993,408.1993,410.3229,0.0,2.1236,2.1236
147,1,3,408.6027,408.6027,410.5394,0.0,1.9366,1.9366
145,1,3,407.8725,407.8725,418.9773,0.0,11.1048,11.1048
148,1,3,419.0202,419.0202,419.0849,0.0,0.0647,0.0647
149,1,3,420.1946,420.1946,422.3141,0.0,2.1195,2.1195
151,1,3,427.6068,427.6068,428.8485,0.0,1.2417,1.2417
150,1,3,427.4873,427.4873,434.2341,0.0,6.7468,6.7468
153,1,3,434.4965,434.4965,435.7944,0.0,1.2978,1.2978
152,1,3,431.9904,431.9904,439.5098,0.0,7.5193,7.5193
154,1,3,434.7616,434.7616,442.6461,0.0,7.8846,7.8846
156,1,3,443.572,443.572,443.8939,0.0,0.3219,0.3219
155,1,3,442.192,442.192,446.5388,0.0,4.3468,4.3468
157,1,3,446.2752,446.2752,446.743,0.0,0.4679,0.4679
158,1,3,447.585,447.585,447.9358,0.0,0.3508,0.3508
160,1,3,448.3226,448.3226,448.6409,0.0,0.3182,0.3182
161,1,3,448.5046,448.5046,451.0093,0.0,2.5048,2.5048
162,1,3,449.5361,449.5361,453.7596,0.0,4.2235,4.2235
163,1,3,454.7748,454.7748,455.6453,0.0,0.8705,0.8705
164,1,3,456.0754,456.0754,457.1236,0.0,1.0482,1.0482
159,1,3,448.2472,448.2472,458.194,0.0,9.9468,9.9468
165,1,3,461.6678,461.6678,467.0791,0.0,5.4113,5.4113
168,1,3,472.3026,472.3026,472.7025,0.0,0.4,0.4
166,1,3,464.7814,464.7814,472.9135,0.0,8.1321,8.1321
170,1,3,474.0041,474.0041,474.7373,0.0,0.7332,0.7332
167,1,3,470.9329,470.9329,475.6264,0.0,4.6935,4.6935
169,1,3,472.7101,472.7101,475.7365,0.0,3.0265,3.0265
171,1,3,476.1639,476.1639,483.0179,0.0,6.854,6.854
2,2,3,7.9454,7.9454,7.9992,0.0,0.0538,0.0538
1,2,3,7.876,7.876,9.7625,0.0,1.8865,1.8865
4,2,3,19.9945,19.9945,22.9965,0.0,3.0019,3.0019
3,2,3,16.5799,16.5799,26.6117,0.0,10.0318,10.0318
6,2,3,28.9229,28.9229,29.0606,0.0,0.1377,0.1377
5,2,3,28.3274,28.3274,29.7452,0.0,1.4177,1.4177
7,2,3,33.3906,33.3906,33.9135,0.0,0.5229,0.5229
8,2,3,44.9524,44.9524,46.6956,0.0,1.7431,1.7431
9,2,3,45.8148,45.8148,47.3612,0.0,1.5464,1.5464
11,2,3,50.4166,50.4166,51.8964,0.0,1.4798,1.4798
10,2,3,49.4953,49.4953,52.4064,0.0,2.9111,2.9111
13,2,3,52.9388,52.9388,53.4934,0.0,0.5547,0.5547
12,2,3,51.1315,51.1315,57.9492,0.0,6.8177,6.8177
16,2,3,59.0757,59.0757,60.1551,0.0,1.0794,1.0794
14,2,3,57.16,57.16,60.5322,0.0,3.3722,3.3722
15,2,3,57.6727,57.6727,62.8086,0.0,5.1359,5.1359
18,2,3,61.5594,61.5594,63.3844,0.0,1.825,1.825
20,2,3,63.6796,63.6796,64.8798,0.0,1.2002,1.2002
17,2,3,59.0989,60.1551,66.003,1.0561,5.8479,6.904
19,2,3,61.7569,62.8086,68.1927,1.0517,5.3842,6.4359
21,2,3,67.2736,67.2736,69.2745,0.0,2.0009,2.0009
22,2,3,71.7437,71.7437,72.7921,0.0,1.0484,1.0484
24,2,3,74.3773,74.3773,75.7563,0.0,1.379,1.379
23,2,3,74.2291,74.2291,75.8383,0.0,1.6092,1.6092
25,2,3,78.3073,78.3073,80.8527,0.0,2.5455,2.5455
27,2,3,82.8634,82.8634,83.4011,0.0,0.5377,0.5377
26,2,3,81.3445,81.3445,84.1544,0.0,2.81,2.81
28,2,3,84.3614,84.3614,85.2303,0.0,0.869,0.869
30,2,3,90.4448,90.4448,90.6248,0.0,0.18,0.18
31,2,3,91.3023,91.3023,91.8435,0.0,0.5413,0.5413
32,2,3,93.2482,93.2482,94.0142,0.0,0.766,0.766
33,2,3,93.4264,93.4264,95.0119,0.0,1.5855,1.5855
34,2,3,94.3034,94.3034,95.0496,0.0,0.7461,0.7461
35,2,3,96.3126,96.3126,97.5589,0.0,1.2463,1.2463
29,2,3,89.445,89.445,97.6972,0.0,8.2521,8.2521
36,2,3,99.2314,99.2314,102.529,0.0,3.2976,3.2976
39,2,3,102.6439,102.6439,103.2247,0.0,0.5808,0.5808
38,2,3,102.4171,102.4171,104.4909,0.0,2.0738,2.0738
40,2,3,104.7169,104.7169,105.9156,0.0,1.1987,1.1987
37,2,3,102.1167,102.1167,106.4504,0.0,4.3337,4.3337
41,2,3,104.8857,104.8857,108.8655,0.0,3.9798,3.9798
42,2,3,110.1402,110.1402,111.0571,0.0,0.9169,0.9169
43,2,3,113.4212,113.4212,114.7711,0.0,1.35,1.35
44,2,3,113.6426,113.6426,117.8398,0.0,4.1971,4.1971
46,2,3,124.0838,124.0838,124.9282,0.0,0.8444,0.8444
45,2,3,124.0187,124.0187,129.0889,0.0,5.0702,5.0702
48,2,3,130.6386,130.6386,134.2331,0.0,3.5946,3.5946
47,2,3,128.4125,128.4125,134.5995,0.0,6.187,6.187
49,2,3,143.2239,143.2239,145.3694,0.0,2.1455,2.1455
50,2,3,147.0091,147.0091,147.876,0.0,0.8669,0.8669
51,2,3,148.0115,148.0115,149.0628,0.0,1.0513,1.0513
53,2,3,149.8453,149.8453,150.7699,0.0,0.9246,0.9246
52,2,3,149.0097,149.0097,154.4845,0.0,5.4748,5.4748
54,2,3,155.2427,155.2427,155.5598,0.0,0.3172,0.3172
55,2,3,156.494,156.494,157.7912,0.0,1.2972,1.2972
56,2,3,159.5852,159.5852,159.7543,0.0,0.1691,0.1691
57,2,3,160.2247,160.2247,161.4024,0.0,1.1777,1.1777
58,2,3,160.5368,160.5368,164.8294,0.0,4.2927,4.2927
60,2,3,167.3728,167.3728,169.1125,0.0,1.7398,1.7398
61,2,3,171.1033,171.1033,174.4087,0.0,3.3054,3.3054
59,2,3,163.8116,163.8116,175.771,0.0,11.9595,11.9595
63,2,3,175.1133,175.1133,177.1738,0.0,2.0605,2.0605
62,2,3,172.5668,172.5668,179.236,0.0,6.6692,6.6692
66,2,3,180.5805,180.5805,181.9391,0.0,1.3585,1.3585
64,2,3,177.8858,177.8858,183.8468,0.0,5.961,5.961
